subprime
;income;loan.amount;high.rate;black;woman
1;54;239;0;1;0
2;144;285;0;0;0
3;79;227;0;0;1
4;61;199;0;0;1
5;37;160;1;0;1
6;36;210;0;0;1
7;36;168;0;0;0
8;182;400;0;0;0
9;120;100;0;0;0
10;501;557;0;0;1
11;112;155;0;0;0
12;46;179;1;0;0
13;182;155;0;0;0
14;52;141;1;1;0
15;66;180;0;0;0
16;84;167;0;0;0
17;62;232;0;0;0
18;720;395;0;0;0
19;210;417;0;0;0
20;81;160;0;0;0
21;288;317;1;0;0
22;36;139;0;0;0
23;84;238;0;0;0
24;911;1050;0;0;0
25;137;158;0;0;0
26;300;260;0;0;1
27;49;168;0;0;1
28;1208;1140;0;0;0
29;210;196;1;0;1
30;1080;191;0;0;0
31;61;165;0;0;1
32;38;200;0;0;1
33;53;109;0;0;0
34;180;204;0;0;1
35;72;200;0;0;0
36;74;147;0;0;0
37;216;56;1;1;0
38;93;66;1;0;0
39;194;574;0;0;0
40;145;267;0;0;0
41;123;364;0;0;0
42;195;520;1;0;1
43;56;164;0;1;0
44;184;432;0;0;0
45;342;383;0;0;0
46;417;490;0;0;0
47;141;126;0;0;1
48;99;237;0;0;1
49;196;396;0;0;0
50;165;182;1;0;1
51;84;329;0;0;0
52;59;240;0;0;0
53;144;277;1;0;0
54;41;160;0;0;1
55;68;185;0;0;0
56;50;138;0;1;1
57;106;206;0;0;1
58;91;216;0;0;0
59;82;198;0;0;1
60;34;85;0;0;1
61;96;59;1;0;0
62;228;319;0;0;0
63;423;257;0;0;0
64;61;112;0;0;0
65;87;165;0;0;0
66;89;219;0;0;0
67;450;525;0;0;0
68;300;395;0;0;0
69;120;272;0;0;1
70;93;264;1;0;0
71;240;240;0;0;0
72;115;112;1;0;1
73;250;200;0;0;0
74;94;220;0;0;1
75;309;399;0;0;0
76;47;160;0;0;0
77;165;37;0;0;0
78;45;154;0;0;1
79;61;86;0;0;0
80;68;204;1;0;1
81;68;198;0;0;0
82;45;128;0;0;0
83;73;360;0;0;0
84;300;304;0;0;0
85;75;196;0;0;1
86;51;165;0;0;0
87;564;340;0;0;0
88;200;700;0;0;0
89;49;124;0;0;1
90;260;112;0;0;1
91;87;45;1;0;1
92;90;115;0;0;0
93;273;225;0;0;1
94;98;188;0;0;0
95;92;164;0;0;0
96;100;191;0;0;0
97;80;67;0;0;1
98;260;393;0;0;0
99;85;185;0;0;0
100;137;232;0;0;0
101;56;128;1;0;1
102;211;508;0;0;0
103;71;203;1;0;0
104;400;318;0;0;1
105;170;67;0;1;0
106;108;370;0;0;0
107;74;243;1;0;1
108;85;208;0;0;0
109;253;400;0;0;0
110;108;314;0;0;1
111;57;100;0;0;1
112;103;204;1;0;0
113;45;160;0;0;1
114;40;42;1;0;0
115;125;309;0;0;0
116;92;86;0;0;0
117;91;214;1;0;1
118;46;110;0;0;0
119;83;190;0;0;0
120;60;204;0;0;0
121;69;270;0;0;0
122;399;350;0;0;1
123;102;236;0;0;1
124;98;66;1;0;0
125;120;650;1;0;1
